restaurant,name,calories,protein,carbs,fat,category
Whataburger,#1 Whataburger®,590,29,62,25,entree
Whataburger,#2 Double Meat Whataburger®,830,47,62,44,entree
Whataburger,#3 Triple Meat Whataburger®,1070,65,62,63,entree
Whataburger,#4 Jalapeño & Cheese Whataburger®,680,34,63,32,entree
Whataburger,#5 Bacon & Cheese Whataburger®,750,39,62,37,entree
Whataburger,#6 Avocado Bacon Burger,820,37,52,52,entree
Whataburger,#7 Whataburger Jr.®,310,14,37,11,entree
Whataburger,#8 Double Meat Whataburger Jr.®,420,23,37,20,entree
Whataburger,Bacon & Cheese Whataburger Jr.®,400,21,37,18,entree
Whataburger,#10 Whatachick’n®Sandwich with Whatasauce™,540,32,54,22,entree
Whataburger,#10 Whatachick’n®Sandwich with Mayonnaise,580,32,52,28,entree
Whataburger,#11 Grilled Chicken Sandwich with Whatasauce™,430,32,44,14,entree
Whataburger,#11 Grilled Chicken Sandwich with Mayonnaise,470,32,42,20,entree
Whataburger,#12 Spicy Chicken Sandwich,550,31,50,26,entree
Whataburger,#13 Whatachick’n®Strips (3),460,24,30,27,entree
Whataburger,#14 Whatachick’n®Bites (6),390,30,25,19,entree
Whataburger,#15 Whatachick’n®Bites (9),580,45,37,28,entree
Whataburger,#16 Chicken Fajita Taco,340,29,31,11,entree
Whataburger,Grilled Chicken Melt,390,33,39,11,entree
Whataburger,Honey BBQ Chicken Strip Sandwich,890,38,87,42,entree
Whataburger,"Whataburger Patty Melt
®",940,49,45,61,entree
Whataburger,Mushroom Swiss Burger,1110,56,61,70,entree
Whataburger,Whatacatch® Sandwich,490,19,59,20,entree
Whataburger,Grilled Veggie Wrap*,330,7,38,18,entree
Whataburger,Sweet & Spicy Bacon Burger*,1080,60,69,62,entree
Whataburger,Green Chile Double*,980,54,61,57,entree
Whataburger,Buffalo Ranch Chicken Strip Sandwich†,990,41,90,51,entree
Whataburger,Jr. Honey BBQ Chicken Strip Sandwich,650,28,63,31,entree
Whataburger,Jr. Whataburger ® Patty Melt (Single Patty),640,28,45,37,entree
Whataburger,Jr. Mushroom Swiss Burger,700,32,47,42,entree
Whataburger,Jr. Sweet & Spicy Bacon Burger*,600,32,42,33,entree
Whataburger,Jr. Green Chile Double*,540,28,37,30,entree
Whataburger,Jr. Buffalo Ranch Chicken Strip Sandwich†,660,28,56,35,entree
Whataburger,Justaburger®,300,14,35,11,entree
Whataburger,Whatachick’n® Strips (2),300,16,20,18,entree
Whataburger,Whatachick’n® Bites (4),260,20,16,12,entree
Whataburger,Grilled Cheese,510,16,42,28,entree
Whataburger,Apple & Cranberry Salad with Grilled Chicken,380,33,38,12,entree
Whataburger,Apple & Cranberry Salad with Whatachick’n®,490,34,47,20,entree
Whataburger,Apple & Cranberry Salad with Spicy Chicken,500,31,49,21,entree
Whataburger,Cobb Salad,300,20,8,21,entree
Whataburger,Cobb Salad with Grilled Chicken,430,44,10,23,entree
Whataburger,Cobb Salad with Whatachick’n®,540,45,20,31,entree
Whataburger,Cobb Salad with Spicy Chicken,550,43,21,32,entree
Whataburger,Buffalo Ranch Chicken Salad† with Grilled Chicken,370,37,13,19,entree
Whataburger,Buffalo Ranch Chicken Salad† with Whatachick’n®,480,38,23,27,entree
Whataburger,Buffalo Ranch Chicken Salad† with Spicy Chicken,480,35,24,28,entree
Whataburger,Garden Salad,160,10,10,10,entree
